BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
DBAR,,1236 Dorchester,Dorchester,MA,02125,Active,FS,Eating & Drinking,12/07/2006 01:36:26 PM,+16172654490,156562,"(42.308431, -71.058031)"
D'BENNY'S SUBS,,1433 DORCHESTER ,DORCHESTER,MA,02124,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:41 PM,+16179136287,,"(42.3594, -71.0587)"
DD1/B14,,4 YAWKEY,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,11/16/2008 11:10:35 AM,+16175366683,,"(42.3594, -71.0587)"
DD2,,4 YAWKEY,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,11/16/2008 11:11:55 AM,+16175366683,,"(42.3594, -71.0587)"
DEEP ELLUM,,465 Cambridge,Allston,MA,02134,Active,FS,Eating & Drinking,01/11/2007 11:23:11 AM,+16178773709,25141,"(42.35415, -71.13658)"
Delfino Restaurant,,754 South,Roslindale,MA,02131,Active,FS,Eating & Drinking,12/07/2006 01:35:27 PM,+16173646738,128944,"(42.28702, -71.12948)"
DelFriscos Double Eagle Steak House,,230 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,11/04/2010 10:25:12 AM,+12147251112,342826,"(42.348875, -71.03839)"
DELI OF COURSE,,451 D,Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:22 PM,+17816621277,157722,"(42.345194, -71.041978)"
Deli One,,85 ARCH ST,BOSTON,MA,02110,Active,FT,Eating & Drinking w/ Take Out,02/26/2008 01:08:52 PM,+16172927825,,"(42.3594, -71.0587)"
Delicia Dominicanas,,635 Hyde Park,Roslindale,MA,02131,Active,FS,Eating & Drinking,02/15/2013 10:46:21 AM,+16174774546,77476,"(42.27859, -71.11944)"
Delicias Del Caribe,,149 Stoughton,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,12/28/2009 03:25:46 PM,+16173793381,131112,"(42.314644, -71.060322)"
DELTA SATELLITE CROWN RM,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,02128,Active,FS,Eating & Drinking,12/07/2006 01:36:15 PM,+16176344590,,"(42.3594, -71.0587)"
DEM & TED INC.  PIZZA SHUTTLE,,239 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:30 PM,+16170000000,158185,"(42.375806, -71.038929)"
DEMPSEY'S BAR & GRILLE,,1185 River,Hyde Park,MA,02136,Active,FS,Eating & Drinking,12/07/2006 01:35:16 PM,+16173610307,116337,"(42.25616, -71.12152)"
DENO'S SUBS & PIZZA,,2040 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:33:55 PM,+16174698757,155703,"(42.280288, -71.158001)"
Deparma,,182 Sumner,East Boston,MA,02128,Active,FS,Eating & Drinking,12/07/2006 01:36:30 PM,+16175619998,132328,"(42.36936, -71.0403)"
DERNA'S RESTAURANT,,753 South,Roslindale,MA,02131,Active,FS,Eating & Drinking,12/07/2006 01:34:57 PM,+16173252100,155983,"(42.287196, -71.129241)"
Derne Street Deli,,14 Derne,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,10/04/2012 09:24:52 AM,+16177421449,47444,"(42.35953, -71.06344)"
Designer Cafe'(Au Bon Pain),,1 DESIGN CENTER,BOSTON,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:19 PM,+16178975079,,"(42.3594, -71.0587)"
DESTINO'S PIZZA,,1505 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,04/04/2012 03:16:01 PM,+16173334334,77156,"(42.24745, -71.12803)"
Deuxave,,371 Commonwealth,Boston,MA,02116,Active,FS,Eating & Drinking,04/22/2010 10:39:47 AM,+10000000000,163721,"(42.349468, -71.089075)"
DEVLIN'S RESTAURANT,,332 Washington,Brighton,MA,02135,Active,FS,Eating & Drinking,12/07/2006 01:35:21 PM,+16179436210,143520,"(42.348878, -71.152342)"
DICK'S LAST RESORT,,100-199 Faneuil Hall Market,Boston,MA,02109,Active,FS,Eating & Drinking,04/17/2007 10:01:23 AM,+16172678080,,"(42.3594, -71.0587)"
